,ts_code,symbol,name,area,industry,market,list_date
997,300194.SZ,300194,福安药业,重庆,化学制药,创业板,20110322
998,300195.SZ,300195,长荣股份,天津,轻工机械,创业板,20110329
999,300196.SZ,300196,长海股份,江苏,玻璃,创业板,20110329
1000,300197.SZ,300197,节能铁汉,深圳,环境保护,创业板,20110329
1001,300198.SZ,300198,纳川股份,福建,塑料,创业板,20110407
1002,300199.SZ,300199,翰宇药业,深圳,化学制药,创业板,20110407
1003,300200.SZ,300200,高盟新材,北京,化工原料,创业板,20110407
1004,300201.SZ,300201,*ST海伦,江苏,专用机械,创业板,20110407
1005,300204.SZ,300204,舒泰神,北京,生物制药,创业板,20110415
1006,300208.SZ,300208,青岛中程,山东,电气设备,创业板,20110426
1007,300209.SZ,300209,有棵树,湖南,互联网,创业板,20110426
1008,300210.SZ,300210,森远股份,辽宁,专用机械,创业板,20110426
1009,300211.SZ,300211,亿通科技,江苏,通信设备,创业板,20110505
1010,300213.SZ,300213,佳讯飞鸿,北京,通信设备,创业板,20110505
1011,300214.SZ,300214,日科化学,山东,化工原料,创业板,20110511
1012,300217.SZ,300217,东方电热,江苏,家用电器,创业板,20110518
1013,300218.SZ,300218,安利股份,安徽,塑料,创业板,20110518
1014,300220.SZ,300220,金运激光,湖北,专用机械,创业板,20110525
1015,300221.SZ,300221,银禧科技,广东,塑料,创业板,20110525
1016,300225.SZ,300225,金力泰,上海,染料涂料,创业板,20110531
1017,300227.SZ,300227,光韵达,深圳,专用机械,创业板,20110608
1018,300228.SZ,300228,富瑞特装,江苏,化工机械,创业板,20110608
1019,300230.SZ,300230,永利股份,上海,塑料,创业板,20110615
1020,300231.SZ,300231,银信科技,北京,软件服务,创业板,20110615
1021,300234.SZ,300234,开尔新材,浙江,陶瓷,创业板,20110622
1022,300235.SZ,300235,方直科技,深圳,软件服务,创业板,20110629
1023,300237.SZ,300237,美晨生态,山东,汽车配件,创业板,20110629
1024,300238.SZ,300238,冠昊生物,广东,医疗保健,创业板,20110706
1025,300239.SZ,300239,东宝生物,内蒙,生物制药,创业板,20110706
